A	0	3
A	1	9
A	2	8
A	3	7
A	4	1
A	5	8
A	6	1
A	7	9
A	8	9
A	9	3
A	10	6
A	11	10
X	6	0
X	7	1
X	8	3
X	6	0
X	9	0
X	2	5
X	2	4
X	7	3
X	7	7
X	11	2
X	10	2
X	11	9
X	4	0
X	7	0
X	6	0
X	6	0
X	1	6
X	11	5
X	2	1
X	0	0
X	6	0
X	8	0
X	5	3
X	0	0
X	6	0
X	6	0
X	11	3
X	2	6
X	3	4
X	6	0
X	3	0
X	6	0
X	5	6
X	5	6
X	8	2
X	8	1
X	8	5
X	5	5
X	1	8
X	8	1
X	8	6
X	9	1
X	10	0
X	9	0
X	6	0
X	3	2
X	10	1
X	11	8
X	6	0
X	7	0
X	9	0
X	6	0
X	0	2
X	11	4
X	1	1
X	2	4
X	5	0
X	10	5
X	6	0
X	3	6
X	1	4
X	2	7
X	0	0
X	4	0
X	8	1
X	0	1
X	1	0
X	10	5
X	7	5
X	9	1
X	5	7
X	11	2
X	9	1
X	8	6
X	8	7
X	1	5
X	0	2
X	4	0
X	8	3
X	2	4
X	10	1
X	4	0
X	5	1
X	7	2
X	11	2
X	11	2
X	2	7
X	6	0
X	7	7
X	3	3
X	7	6
X	6	0
X	2	7
X	11	3
X	2	0
X	8	0
X	6	0
X	11	3
X	8	0
X	5	0
X	9	2
X	1	3
X	7	6
X	9	2
X	1	2
X	7	7
X	7	7
X	3	5
X	5	3
X	1	8
X	3	2
X	3	1
X	11	7
X	2	0
X	11	9
X	6	0
X	9	0
X	3	3
X	9	2
X	10	5
X	6	0
X	5	2
X	9	0
X	4	0
X	11	7
X	1	4
X	10	5
X	7	0
X	0	0
X	7	7
X	9	0
X	4	0
X	6	0
X	5	4
X	3	5
X	9	0
X	1	3
X	3	3
X	0	0
X	4	0
X	5	1
X	3	1
X	8	0
X	3	6
F	1	7
F	10	0
F	10	2
X	2	2
X	4	0
X	9	2
X	4	0
X	3	5
X	11	1
X	1	5
X	8	0
X	11	1
X	7	4
X	7	4
X	5	6
X	2	4
X	4	0
X	7	1
X	9	1
X	8	0
X	4	0
X	8	7
X	9	0
X	6	0
X	9	2
X	0	2
X	4	0
A	12	8
A	13	10
A	14	4
A	15	1
A	16	7
A	17	8
A	18	5
A	19	6
A	20	8
A	21	8
A	22	8
A	23	7
A	24	9
A	25	6
A	26	8
A	27	1
X	18	1
X	17	0
X	19	1
X	10	4
X	26	2
X	11	2
X	12	0
X	14	3
X	24	7
X	1	0
X	19	0
X	21	2
X	3	4
X	13	6
X	17	0
X	17	0
X	11	1
X	18	4
X	0	0
X	13	6
X	15	0
X	6	0
X	14	3
X	1	3
X	7	8
X	16	2
X	17	5
X	6	0
X	14	3
X	19	4
X	8	2
X	0	0
X	7	1
X	23	2
X	22	3
X	14	3
X	6	0
X	21	6
X	15	0
X	1	3
X	5	3
X	3	0
X	20	1
X	23	0
X	0	0
X	11	0
X	18	3
X	11	1
X	23	4
X	15	0
X	3	3
X	15	0
X	17	3
X	23	1
X	5	6
X	16	1
X	25	2
X	0	2
X	0	2
X	18	1
X	14	0
X	13	0
X	17	0
X	15	0
X	24	0
X	25	3
X	3	6
X	10	3
X	5	7
X	3	2
X	7	8
X	20	5
X	26	1
X	20	5
X	23	1
X	13	2
X	24	8
X	25	5
X	13	1
X	11	6
X	24	7
X	11	8
X	14	1
X	3	5
X	16	2
X	25	1
X	20	4
X	19	5
X	25	0
X	17	7
X	10	3
X	25	3
X	25	5
X	18	2
X	3	6
X	13	4
F	11	9
F	9	2
F	16	6
F	17	2
F	5	6
F	16	1
X	25	2
X	21	1
X	4	0
X	4	0
X	20	7
X	22	5
X	26	6
X	25	1
X	12	6
X	11	0
X	21	6
X	18	4
X	25	3
X	19	1
X	18	1
X	5	2
X	20	2
X	12	4
X	20	4
X	8	3
X	16	0
X	20	2
X	7	5
X	23	4
X	24	3
X	23	0
X	8	1
X	25	3
X	26	3
X	0	2
X	7	7
X	13	9
X	0	1
X	21	5
X	8	5
X	7	6
X	2	5
X	1	4
X	3	4
X	6	0
X	24	5
X	1	2
X	1	1
X	9	1
X	20	7
X	17	0
X	2	4
X	1	3
X	2	6
X	27	0
X	15	0
X	5	0
X	21	7
X	18	3
X	12	2
X	11	4
X	27	0
X	0	1
X	11	6
X	0	1
X	15	0
X	25	3
X	24	3
X	22	4
X	9	0
X	23	6
X	19	3
X	24	4
X	20	3
X	21	5
X	7	2
X	22	3
X	9	1
X	9	0
X	2	2
X	24	6
X	18	0
X	0	1
X	10	1
X	11	0
X	0	2
X	2	7
X	16	4
X	5	5
X	5	2
X	17	5
X	4	0
X	20	5
X	16	4
X	0	0
X	16	2
X	2	2
X	17	7
X	24	1
X	13	0
X	12	6
X	4	0
X	27	0
X	4	0
X	2	0
X	14	3
X	22	6
X	12	3
X	3	0
X	6	0
X	27	0
X	7	0
X	22	4
X	14	0
X	19	0
X	8	5
X	26	5
X	2	5
X	6	0
X	20	3
X	15	0
X	21	4
X	24	0
X	7	1
X	7	7
X	12	2
X	1	8
X	15	0
X	1	4
X	26	5
X	14	3
X	27	0
X	4	0
X	18	3
